,g_L default,g_L,E_L default,E_L,C_m default,C_m
0,16.6667,109.0303538,-70,-61.99896379,250,144.1315
1,16.6667,127.9576928,-70,-73.07731367,250,109.8293
2,16.6667,40.15623048,-70,-62.92446589,250,118.7322
3,16.6667,127.9576928,-70,-73.07731367,250,109.8293
4,16.6667,1.253266121,-70,-76.35133133,250,125.271
5,16.6667,73.23162157,-70,-61.38578781,250,82.6775
6,16.6667,30.14049788,-70,-62.06317645,250,82.6775
7,16.6667,2.912445017,-70,-62.92446589,250,118.7322
8,16.6667,118.2830004,-70,-73.07731367,250,109.8293
9,16.6667,85.59092021,-70,-76.51568941,250,103.9506
10,16.6667,163.0959387,-70,-65.58152638,250,118.2292
11,16.6667,127.8113271,-70,-73.07731367,250,109.8293
12,16.6667,250.1119855,-70,-64.31276729,250,109.8293
13,16.6667,32.0014432,-70,-62.56025374,250,64.4175
14,16.6667,161.2622446,-70,-65.58152638,250,118.2292
15,16.6667,33.27755295,-70,-63.99273923,250,82.6775
16,16.6667,32.0014432,-70,-62.56025374,250,64.4175
17,16.6667,218.1539715,-70,-64.31276729,250,109.8293
18,16.6667,117.7589677,-70,-73.07731367,250,109.8293
19,16.6667,2.912445017,-70,-62.92446589,250,118.7322
20,16.6667,102.0462732,-70,-76.51568941,250,103.9506
21,16.6667,113.0700632,-70,-61.99896379,250,144.1315
22,16.6667,214.6375496,-70,-64.31276729,250,109.8293
23,16.6667,20.0575371,-70,-62.56025374,250,64.4175
24,16.6667,116.5182202,-70,-62.92446589,250,118.7322
25,16.6667,85.59092021,-70,-76.51568941,250,103.9506
26,16.6667,214.6375496,-70,-64.31276729,250,109.8293
27,16.6667,92.57755251,-70,-76.51568941,250,103.9506
28,16.6667,30.14049788,-70,-62.06317645,250,82.6775
29,16.6667,90.4088272,-70,-62.03795533,250,82.6775
30,16.6667,73.23162157,-70,-61.38578781,250,82.6775
31,16.6667,163.0959387,-70,-65.58152638,250,118.2292
32,16.6667,163.2613921,-70,-65.58152638,250,118.2292
33,16.6667,122.6621103,-70,-73.07731367,250,109.8293
34,16.6667,73.23162157,-70,-61.38578781,250,82.6775
35,16.6667,86.43443346,-70,-76.51568941,250,103.9506
36,16.6667,22.77261864,-70,-62.92446589,250,118.7322
37,16.6667,20.0575371,-70,-62.56025374,250,64.4175
38,16.6667,118.2830004,-70,-73.07731367,250,109.8293
39,16.6667,127.8113271,-70,-73.07731367,250,109.8293
40,16.6667,2.912445017,-70,-62.92446589,250,118.7322
41,16.6667,116.8659179,-70,-61.99896379,250,144.1315
42,16.6667,22.02791659,-70,-62.92446589,250,118.7322
43,16.6667,161.6052464,-70,-65.58152638,250,118.2292
44,16.6667,109.0303538,-70,-61.99896379,250,144.1315
45,16.6667,61.73861826,-70,-62.56025374,250,64.4175
46,16.6667,98.17954815,-70,-61.99896379,250,144.1315
47,16.6667,116.5182202,-70,-62.92446589,250,118.7322
48,16.6667,125.1250082,-70,-61.99896379,250,144.1315
49,16.6667,29.32158503,-70,-63.17258776,250,82.6775
50,16.6667,73.23162157,-70,-61.38578781,250,82.6775
51,16.6667,86.43443346,-70,-76.51568941,250,103.9506
52,16.6667,122.4629179,-70,-73.07731367,250,109.8293
53,16.6667,167.6210843,-70,-65.58152638,250,118.2292
54,16.6667,86.43443346,-70,-76.51568941,250,103.9506
55,16.6667,33.27755295,-70,-63.99273923,250,82.6775
56,16.6667,161.6052464,-70,-65.58152638,250,118.2292
57,16.6667,30.14049788,-70,-62.06317645,250,82.6775
58,16.6667,167.6210843,-70,-65.58152638,250,118.2292
59,16.6667,30.14049788,-70,-62.06317645,250,82.6775
60,16.6667,53.08111044,-70,-76.51568941,250,103.9506
61,16.6667,98.17954815,-70,-61.99896379,250,144.1315
62,16.6667,11.65139394,-70,-50.0,250,194.5705
63,16.6667,29.32158503,-70,-63.17258776,250,82.6775
64,16.6667,33.27755295,-70,-63.99273923,250,82.6775
65,16.6667,73.23162157,-70,-61.38578781,250,82.6775
66,16.6667,122.4629179,-70,-73.07731367,250,109.8293
67,16.6667,161.2622446,-70,-65.58152638,250,118.2292
68,16.6667,89.20470583,-70,-61.99896379,250,144.1315
69,16.6667,86.43443346,-70,-76.51568941,250,103.9506
70,16.6667,122.4629179,-70,-73.07731367,250,109.8293
71,16.6667,73.23162157,-70,-61.38578781,250,82.6775
72,16.6667,30.14049788,-70,-62.06317645,250,82.6775
73,16.6667,218.1539715,-70,-64.31276729,250,109.8293
74,16.6667,20.0575371,-70,-62.56025374,250,64.4175
75,16.6667,38.26309374,-70,-61.99896379,250,144.1315
76,16.6667,27.54039329,-70,-61.99896379,250,144.1315
77,16.6667,90.4088272,-70,-62.03795533,250,82.6775
78,16.6667,33.27755295,-70,-63.99273923,250,82.6775
79,16.6667,11.65139394,-70,-50.0,250,194.5705
80,16.6667,73.23162157,-70,-61.38578781,250,82.6775
81,16.6667,53.08111044,-70,-76.51568941,250,103.9506
82,16.6667,90.4088272,-70,-62.03795533,250,82.6775
83,16.6667,32.0014432,-70,-62.56025374,250,64.4175
84,16.6667,116.8659179,-70,-61.99896379,250,144.1315
85,16.6667,61.89306079,-70,-63.95421694,250,82.6775
86,16.6667,2.912445017,-70,-62.92446589,250,118.7322
87,16.6667,127.9576928,-70,-73.07731367,250,109.8293
88,16.6667,127.8113271,-70,-73.07731367,250,109.8293
89,16.6667,125.8727298,-70,-61.99896379,250,144.1315
90,16.6667,2.199479896,-70,-62.92446589,250,118.7322
91,16.6667,53.08111044,-70,-76.51568941,250,103.9506
92,16.6667,218.1539715,-70,-64.31276729,250,109.8293
93,16.6667,90.4088272,-70,-62.03795533,250,82.6775
94,16.6667,40.15623048,-70,-62.92446589,250,118.7322
95,16.6667,61.04188071,-70,-62.92446589,250,118.7322
96,16.6667,10.41951224,-70,-61.99896379,250,144.1315
97,16.6667,161.6052464,-70,-65.58152638,250,118.2292
98,16.6667,218.1539715,-70,-64.31276729,250,109.8293
99,16.6667,20.45893782,-70,-62.57868264,250,82.6775
100,16.6667,98.17954815,-70,-61.99896379,250,144.1315
101,16.6667,219.2745766,-70,-64.31276729,250,109.8293
102,16.6667,29.32158503,-70,-63.17258776,250,82.6775
103,16.6667,250.1119855,-70,-64.31276729,250,109.8293
104,16.6667,61.73861826,-70,-62.56025374,250,64.4175
105,16.6667,22.02791659,-70,-62.92446589,250,118.7322
106,16.6667,14.60303392,-70,-62.92446589,250,118.7322
107,16.6667,250.1119855,-70,-64.31276729,250,109.8293
108,16.6667,85.59092021,-70,-76.51568941,250,103.9506
109,16.6667,117.7589677,-70,-73.07731367,250,109.8293
110,16.6667,102.0462732,-70,-76.51568941,250,103.9506
111,16.6667,61.04188071,-70,-62.92446589,250,118.7322
112,16.6667,127.8113271,-70,-73.07731367,250,109.8293
113,16.6667,29.32158503,-70,-63.17258776,250,82.6775
114,16.6667,90.4088272,-70,-62.03795533,250,82.6775
115,16.6667,2.199479896,-70,-62.92446589,250,118.7322
116,16.6667,113.0700632,-70,-61.99896379,250,144.1315
117,16.6667,40.15623048,-70,-62.92446589,250,118.7322
118,16.6667,2.912445017,-70,-62.92446589,250,118.7322
119,16.6667,61.73861826,-70,-62.56025374,250,64.4175
120,16.6667,89.20470583,-70,-61.99896379,250,144.1315
121,16.6667,92.57755251,-70,-76.51568941,250,103.9506
122,16.6667,2.912445017,-70,-62.92446589,250,118.7322
123,16.6667,163.0959387,-70,-65.58152638,250,118.2292
124,16.6667,22.77261864,-70,-62.92446589,250,118.7322
125,16.6667,125.1250082,-70,-61.99896379,250,144.1315
126,16.6667,85.59092021,-70,-76.51568941,250,103.9506
127,16.6667,2.912445017,-70,-62.92446589,250,118.7322
128,16.6667,14.60303392,-70,-62.92446589,250,118.7322
129,16.6667,109.0303538,-70,-61.99896379,250,144.1315
130,16.6667,116.8659179,-70,-61.99896379,250,144.1315
131,16.6667,86.43443346,-70,-76.51568941,250,103.9506
132,16.6667,250.1119855,-70,-64.31276729,250,109.8293
133,16.6667,98.17954815,-70,-61.99896379,250,144.1315
134,16.6667,20.45893782,-70,-62.57868264,250,82.6775
135,16.6667,165.0594893,-70,-65.58152638,250,118.2292
136,16.6667,14.60303392,-70,-62.92446589,250,118.7322
137,16.6667,250.1119855,-70,-64.31276729,250,109.8293
138,16.6667,20.45893782,-70,-62.57868264,250,82.6775
139,16.6667,2.199479896,-70,-62.92446589,250,118.7322
140,16.6667,89.20470583,-70,-61.99896379,250,144.1315
141,16.6667,61.04188071,-70,-62.92446589,250,118.7322
142,16.6667,161.6052464,-70,-65.58152638,250,118.2292
143,16.6667,12.12269387,-70,-70.24042295,250,156.3205
144,16.6667,61.89306079,-70,-63.95421694,250,82.6775
145,16.6667,90.4088272,-70,-62.03795533,250,82.6775
146,16.6667,20.0575371,-70,-62.56025374,250,64.4175
147,16.6667,202.6660802,-70,-64.31276729,250,109.8293
148,16.6667,127.9576928,-70,-73.07731367,250,109.8293
149,16.6667,163.2613921,-70,-65.58152638,250,118.2292
150,16.6667,109.0303538,-70,-61.99896379,250,144.1315
151,16.6667,118.2830004,-70,-73.07731367,250,109.8293
152,16.6667,219.2745766,-70,-64.31276729,250,109.8293
153,16.6667,38.26309374,-70,-61.99896379,250,144.1315
154,16.6667,219.2745766,-70,-64.31276729,250,109.8293
